EMEIF PROFESSORA ALDACI BARBOSA;OLEGARIO MEMORIA;1257;SAPIRANGA;60834270;85;34883282;ALDACIB@ESCOLA.SME.FORTALEZA.CE.GOV.BR;Em Atividade;-38,4776222;-3,7917068;Pr・prio;Sim;Municipal;Nao oferece;Sim;Sim;Sim;N・o;Sim;N・o;Sim;N・o;N・o;Sim;16;Sim;Filtrada;Sim;Sim;24
ALFA COLEGIO;AV IMPERADOR;651;CENTRO;60015051;;;;Extinta;;;N・o;N・o;Privada;;N・o;N・o;N・o;N・o;;N・o;N・o;N・o;N・o;N・o;;;;;;0
EMEIF ALMERINDA DE ALBUQUERQUE;ANA GONCALVES;1105;TAUAPE;60130490;85;34521884;ALMERINDAA@ESCOLA.SME.FORTALEZA.CE.GOV.BR;Em Atividade;-38,506773;-3,7590234;Pr・prio;Sim;Municipal;Nao exclusivamente;Sim;N・o;Sim;N・o;Sim;N・o;Sim;Sim;N・o;Sim;10;Sim;Filtrada;Sim;Sim;19
EMEIF PROFESSOR ALVARO COSTA;VICENTE DE CASTRO;6074;CAIS DO PORTO;60180410;85;34527356;ALVAROC@ESCOLA.SME.FORTALEZA.CE.GOV.BR;Em Atividade;-38,4729978;-3,7135359;Pr・prio;Sim;Municipal;Nao oferece;N・o;N・o;Sim;N・o;Sim;N・o;Sim;N・o;N・o;Sim;38;Sim;Filtrada;Sim;Sim;146
EMEIF ALVORADA;ANGRA DOS REIS;234;SAPIRANGA;60833590;85;32732680;ALVORADAA@ESCOLA.SME.FORTALEZA.CE.GOV.BR;Em Atividade;-38,4753155;-3,7918499;Pr・prio;N・o;Municipal;Nao exclusivamente;N・o;N・o;Sim;N・o;;N・o;Sim;N・o;Sim;Sim;11;Sim;Filtrada;Sim;Sim;21
AMANHA MELHOR UNIVERSIDADE INFANTIL;TRAVESSA TENENTE JOSE BARREIRA;70;ALVARO WEYNE;60336040;85;87008323;SHEILAGLORIA100@IG.COM.BR;Em Atividade;-38,57327719;-3,718753878;Pr・prio;N・o;Privada;Nao oferece;N・o;N・o;N・o;N・o;;N・o;N・o;N・o;Sim;N・o;8;N・o;Filtrada;Sim;Sim;1
EMEIF PROFESSOR AMERICO BARREIRA;RICARDO PONTE;S/N;GRANJA PORTUGAL;60534020;85;34595381;AMERICOB@ESCOLA.SME.FORTALEZA.CE.GOV.BR;Em Atividade;-38,5994262;-3,7621006;Pr・prio;Sim;Municipal;Nao oferece;Sim;N・o;Sim;Sim;;Sim;Sim;N・o;N・o;Sim;18;Sim;Filtrada;Sim;Sim;27
ANDRADE E SILVA COLEGIO;AV DEMETRIO DE MENEZES;3121;PADRE ANDRADE;60356550;85;32863088;COLEGIOAES@YAHOO.COM.BR;Em Atividade;-38,58443997;-3,730342394;Pr・prio;N・o;Privada;Nao oferece;N・o;Sim;Sim;Sim;Sim;N・o;Sim;N・o;Sim;Sim;17;N・o;Filtrada;Sim;Sim;12
ANGELICA CAVALCANTE C EDUCAC;EDSON MARTINS;290;BOM JARDIM;60540000;85;;;Paralisada;;;N・o;N・o;Privada;;N・o;N・o;N・o;N・o;;N・o;N・o;N・o;N・o;N・o;;;;;;0
EMEIF ANGELICA GURGEL;DOUTOR PERGENTINO MAIA;375;MESSEJANA;60840040;85;33283276;ANGELICAG@ESCOLA.SME.FORTALEZA.CE.GOV.BR;Em Atividade;-38,4922884;-3,8309515;Pr・prio;N・o;Municipal;Nao oferece;N・o;Sim;Sim;N・o;Sim;N・o;N・o;N・o;N・o;Sim;13;Sim;Filtrada;Sim;Sim;18
CMES PROFESSOR ANISIO TEIXEIRA;DO GUARANI;355;MESSEJANA;60873530;85;34335295;ANISIOT@ESCOLA.SME.FORTALEZA.CE.GOV.BR;Em Atividade;-38,4932031;-3,8592055;Pr・prio;Sim;Municipal;Nao oferece;Sim;N・o;Sim;N・o;Sim;Sim;Sim;Sim;Sim;Sim;16;Sim;Filtrada;Sim;Sim;17
EEFM ANISIO TEIXEIRA;RUA RIO GRANDE DO SUL;680;PAN AMERICANO;60441380;85;31012996;ANISIOT@ESCOLA.CE.GOV.BR;Em Atividade;-38,56496545;-3,754507043;Pr・prio;Sim;Estadual;Nao exclusivamente;Sim;N・o;Sim;Sim;Sim;Sim;N・o;N・o;N・o;Sim;12;Sim;Filtrada;Sim;Sim;42
EEFM ANTONIO BEZERRA;RUA.PE. PERDIGAO SAMPAIO;780;ANTONIO BEZERRA;60361010;85;32350265;ABEZERRA@ESCOLA.CE.GOV.BR;Em Atividade;-38,59432458;-3,743981866;Pr・prio;N・o;Estadual;Nao oferece;Sim;N・o;Sim;Sim;Sim;N・o;N・o;Sim;N・o;Sim;15;Sim;Filtrada;Sim;Sim;39
CMES DOM ANTONIO ALMEIDA LUSTOSA;GERALDO BARBOSA;S/N;BOM JARDIM;60540340;85;34522460;DOMAAL@ESCOLA.SME.FORTALEZA.CE.GOV.BR;Em Atividade;-38,6006978;-3,7923428;Pr・prio;Sim;Municipal;Nao oferece;Sim;N・o;Sim;Sim;;Sim;Sim;N・o;Sim;Sim;26;Sim;Filtrada;Sim;Sim;12
EEFM DOM ANTONIO DE ALMEIDA LUSTOSA;RUA ADOLFO MOREIRA DE CARVALHO;1;EDSON QUEIROZ;60811740;85;31012171;AMLUSTOSA@ESCOLA.CE.GOV.BR;Em Atividade;-38,47661413;-3,772668809;Pr・prio;Sim;Estadual;Nao oferece;Sim;N・o;Sim;N・o;Sim;N・o;Sim;N・o;N・o;Sim;13;Sim;Filtrada;Sim;Sim;34
EMEIF ANTONIO DIOGO DE SIQUEIRA;ANSELMO NOGUEIRA;655;BONSUCESSO;60545360;85;32922265;ANTONIODS@ESCOLA.SME.FORTALEZA.CE.GOV.BR;Em Atividade;-38,5879744;-3,783827;Pr・prio;N・o;Municipal;Nao oferece;Sim;N・o;Sim;N・o;Sim;N・o;Sim;Sim;N・o;Sim;8;Sim;Filtrada;Sim;Sim;10
EMEIF PROFESSOR ANTONIO GIRAO BARROSO;37;S/N;JANGURUSSU;60876601;85;32691760;ANTONIOGB@ESCOLA.SME.FORTALEZA.CE.GOV.BR;Em Atividade;-38,5185907;-3,8486142;Pr・prio;N・o;Municipal;Nao oferece;N・o;N・o;Sim;N・o;;N・o;Sim;N・o;N・o;Sim;12;Sim;Filtrada;Sim;Sim;1
ANTONIO SALES E E F M;RUA - PROFESSOR ANACLETO;630;PARQUELANDIA;60450360;85;31012263;ASALES@ESCOLA.CE.GOV.BR;Em Atividade;-38,55215481;-3,738776982;Pr・prio;N・o;Estadual;Nao oferece;N・o;N・o;Sim;Sim;Sim;N・o;N・o;Sim;N・o;Sim;10;Sim;Filtrada;Sim;Sim;21
EMEIF ANTONIO SALES;TAVARES IRACEMA;675;RODOLFO TEOFILO;60430070;85;32818815;ANTONIOS@ESCOLA.SME.FORTALEZA.CE.GOV.BR;Em Atividade;-38,5570807;-3,7484465;Pr・prio;Sim;Municipal;Nao oferece;N・o;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;10;Sim;Filtrada;Sim;N・o;17
ANTO CRECHE COM PQUE STO;RUA ISAIAS;51;PEDRAS;60875130;85;32751539;;Paralisada;;;N・o;N・o;Privada;;N・o;N・o;N・o;N・o;;N・o;N・o;N・o;N・o;N・o;;;;;;0
CRECHE COMUNITARIA STO ANTONIO;RUA JOAO RAMALHO;21;PARQUE SAO JOSE;60730290;88;34844322;ABEMCE@IG.COM.BR;Paralisada;;;N・o;N・o;Municipal;;N・o;N・o;N・o;N・o;;N・o;N・o;N・o;N・o;N・o;;;;;;0
EEFM PROF MARIA ANTONIETA NUNES UV-09;RUA 916;1;CONJUNTO CEARA II;60532540;85;31015960;UV9ANUNES@ESCOLA.CE.GOV.BR;Em Atividade;-38,53570115;-3,727477086;Pr・prio;N・o;Estadual;Nao oferece;N・o;N・o;Sim;N・o;Sim;N・o;Sim;N・o;N・o;Sim;13;Sim;Filtrada;Sim;Sim;36
EEFM ANTONIETA SIQUEIRA;RUA GUARANI;4;PICI;60520660;85;31015673;ANTONIETASIQUEIRA@ESCOLA.CE.GOV.BR;Em Atividade;-38,57737569;-3,758411025;Pr・prio;Sim;Estadual;Nao exclusivamente;Sim;Sim;Sim;Sim;Sim;N・o;Sim;N・o;N・o;Sim;19;Sim;Filtrada;Sim;Sim;33
APARECIDA CENTRO EDUCACIONAL N SRA;RUA 202;205;CONJUNTO CEARA;60530290;85;32594019;MPPS-1@HOTMAIL.COM;Em Atividade;;;Cedido;N・o;Privada;Nao oferece;N・o;N・o;Sim;N・o;;N・o;Sim;N・o;Sim;N・o;5;N・o;Filtrada;Sim;Sim;5
APARECIDA I ESC 1 GR N SRA;AV PROF. GOMES DE MATOS;1921;MONTESE;60410001;85;32254245;;Paralisada;-38,54343235;-3,718453184;N・o;N・o;Privada;;N・o;N・o;N・o;N・o;;N・o;N・o;N・o;N・o;N・o;;;;;;0
APRENDENDO A CRESCER CRECHE ESCOLA;AV BEZERRA DE MENEZES;1147;ALAGADICO;60325003;85;32232265;AP_CRESCER@HOTMAIL.COM;Em Atividade;-38,54709946;-3,732214344;Pr・prio;N・o;Privada;Nao oferece;N・o;N・o;Sim;N・o;;N・o;N・o;N・o;Sim;Sim;10;N・o;Filtrada;Sim;Sim;13
NEVES CAMPELO COLEGIO;RUA SATURNO;600;DIAS MACEDO;60860220;85;32953003;;Em Atividade;-38,58114501;-3,629344948;Pr・prio;Sim;Privada;Nao oferece;N・o;N・o;Sim;N・o;;N・o;N・o;N・o;Sim;Sim;12;N・o;Filtrada;Sim;Sim;5
FARIAS BRITO COLEGIO CENTRAL;RUA SENADOR POMPEU;2607;CENTRO;60025002;85;34647772;OUVIDORIA@FARIASBRITO.COM.BR;Em Atividade;-38,5337958;-3,740944092;Pr・prio;Sim;Privada;Nao oferece;N・o;Sim;Sim;Sim;Sim;Sim;Sim;Sim;N・o;Sim;55;N・o;Filtrada;Sim;Sim;28
EMEIF ARY DE SA CAVALCANTE;H;430;PREFEITO JOSE WALTER;60750070;85;32913575;ARYSC@ESCOLA.SME.FORTALEZA.CE.GOV.BR;Em Atividade;-38,5591831;-3,8410532;Pr・prio;N・o;Municipal;Nao oferece;N・o;N・o;N・o;N・o;;Sim;Sim;Sim;N・o;Sim;9;Sim;Filtrada;Sim;N・o;1
ATENEU DO CEARA COLEGIO;RUA COLETOR ANTONIO GADELHA;621;MESSEJANA;60871050;85;32291105;COLEGIO_ATENEU@HOTMAIL.COM;Em Atividade;-38,50239455;-3,832601104;Pr・prio;Sim;Privada;Nao oferece;N・o;N・o;Sim;N・o;Sim;N・o;N・o;N・o;N・o;Sim;29;N・o;Filtrada;Sim;Sim;39
EMEIF AUTRAN NUNES;PROFESSOR VIRGILIO MORAIS;S/N;AUTRAN NUNES;60526720;85;32901595;AUTRANN@ESCOLA.SME.FORTALEZA.CE.GOV.BR;Em Atividade;-38,5967202;-3,7518295;Pr・prio;N・o;Municipal;Nao oferece;N・o;N・o;N・o;N・o;;N・o;Sim;Sim;N・o;N・o;12;Sim;Filtrada;Sim;Sim;20
AUXILIADORA CENTRO EDUCACIONAL;RUA VICENTE SPINDOLA;39;VILA UNIAO;60420210;85;32724290;SECRETARIAANEXO@JUVENALDECARVALHO.COM.BR;Em Atividade;-38,53864404;-3,769089129;Alugado;N・o;Privada;Nao oferece;Sim;Sim;Sim;Sim;Sim;N・o;Sim;Sim;Sim;Sim;18;N・o;Filtrada;Sim;Sim;11
CASTRO COLEGIO;RUA EMILIO DE MENEZES;315;BOM SUCESSO;60541420;85;34845121;NONATO.NONATO@HOTMAIL.COM;Em Atividade;-38,58459621;-3,782747208;Pr・prio;Sim;Privada;Nao oferece;N・o;N・o;Sim;Sim;Sim;N・o;N・o;N・o;Sim;Sim;38;N・o;Filtrada;Sim;Sim;8
ESCOLA RENOVADA BALAO MAGICO;RUA ANA GONCALVES;655;SAO JOAO DO TAUAPE;60010000;85;32272830;ESCOLARENOVADABALAOMAGICO@GMAIL.COM;Em Atividade;-38,51107362;-3,756629824;Pr・prio;N・o;Privada;Nao oferece;N・o;N・o;N・o;N・o;;N・o;N・o;N・o;Sim;Sim;5;N・o;Filtrada;Sim;Sim;0
EMEIF BARBARA DE ALENCAR;CAPITAO PORFIRIO;544;ANCURI;60872760;85;32743708;BARBARAA@ESCOLA.SME.FORTALEZA.CE.GOV.BR;Em Atividade;-38,5005386;-3,8531875;Pr・prio;N・o;Municipal;Nao oferece;N・o;N・o;Sim;N・o;;Sim;Sim;N・o;N・o;Sim;12;Sim;Filtrada;Sim;Sim;18
EEFM BARBARA DE ALENCAR;RUA PEDRO RUFINO;38;VARJOTA;60175100;85;31017071;BARBARAALENCAR@YAHOO.COM.BR;Em Atividade;-38,48794243;-3,727655532;Cedido;Sim;Estadual;Nao oferece;N・o;N・o;Sim;N・o;Sim;N・o;N・o;N・o;N・o;Sim;9;Sim;Filtrada;Sim;Sim;16
BATISTA SANTOS DUMONT COL;RUA DES LEITE ALBUQUERQUE;1056;ALDEOTA;60150150;85;40082300;COLEGIO@BATISTA.G12.BR;Em Atividade;-38,49533948;-3,73893467;Pr・prio;Sim;Privada;Nao oferece;Sim;Sim;Sim;Sim;Sim;N・o;N・o;Sim;Sim;Sim;50;N・o;Filtrada;Sim;Sim;44
BATISTA CENTRO EDUCACIONAL;RUA RANGEL PESTANA;1363;EDSON QUEIROZ;60834250;85;30867991;CENTROEDUCACIONALBATISTA@HOTMAIL.COM;Em Atividade;;;Pr・prio;N・o;Privada;Nao oferece;N・o;N・o;Sim;N・o;;N・o;N・o;N・o;N・o;Sim;12;N・o;Filtrada;Sim;Sim;9
BATISTA-PROJ NOVA ALIANCA ESC;RUA SAO FCO;557;BOM JARDIM;60540130;85;34973725;;Paralisada;;;N・o;N・o;Privada;;N・o;N・o;N・o;N・o;;N・o;N・o;N・o;N・o;N・o;;;;;;0
EMEIF PROFESSORA BELARMINA CAMPOS;DOUTOR MANOEL RODRIGUES MONTEIRO;840;VICENTE PINZON;60181805;85;34332751;KATERINEVALENTIM@HOTMAIL.COM;Em Atividade;-38,4660245;-3,725231;Pr・prio;Sim;Municipal;Nao oferece;N・o;N・o;Sim;N・o;Sim;N・o;Sim;Sim;Sim;Sim;25;Sim;Filtrada;Sim;N・o;38
BEM ME QUER ESCOLINHA;RUA CORREGO BONITO 2;85;MUCURIPE;60175540;;;;Paralisada;;;N・o;N・o;Privada;;N・o;N・o;N・o;N・o;;N・o;N・o;N・o;N・o;N・o;;;;;;0
BEZERRA DE MENEZES COLEGIO DR;RUA RIO TOCANTINS;1560;JARDIM IRACEMA;60340110;85;34816725;CDBM1@YAHOO.COM.BR;Em Atividade;;;Pr・prio;N・o;Privada;Nao oferece;N・o;N・o;N・o;N・o;;N・o;N・o;N・o;N・o;Sim;10;N・o;Filtrada;Sim;N・o;0
BOM JESUS ESCOLA DE ENSINO FUNDAMENTAL CIRCULI STA;RUA JOSE BUSON;101;ALTO DA BALANCA;60851170;85;34720603;COLEGIOCIRCULISTA@GMAIL.COM;Em Atividade;-38,51599976;-3,764463306;Pr・prio;N・o;Privada;Nao oferece;N・o;N・o;N・o;N・o;Sim;N・o;N・o;N・o;Sim;Sim;15;N・o;Filtrada;Sim;N・o;0
SALESIANO DOM BOSCO COLEGIO;RUA JOAQUIM TORRES;185;JOAQUIM TAVORA;60135130;85;32269162;SALESIANO@IG.COM.BR;Em Atividade;-38,52156094;-3,74080074;Pr・prio;Sim;Privada;Nao oferece;N・o;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;17;N・o;Filtrada;Sim;Sim;30
EDUCANDARIO BOTO ROSA;RUA SAO BERNARDO;1050;JARDIM IRACEMA;60336250;85;32867219;FRAN6923@YAHOO.COM.BR;Paralisada;;;N・o;N・o;Privada;;N・o;N・o;N・o;N・o;;N・o;N・o;N・o;N・o;N・o;;;;;;0
BRANCA DE NEVE CENTRO EDUCACIONAL;AV WENEFRIDO MELO;196;MONDUBIM;60762410;85;32961077;CEBRANE01@HOTMAIL.COM;Em Atividade;-38,57720677;-3,809769632;Pr・prio;N・o;Privada;Nao oferece;N・o;N・o;N・o;N・o;Sim;N・o;Sim;N・o;Sim;Sim;21;N・o;Filtrada;Sim;Sim;0
INSTITUTO BRANCA DE NEVE;CONJ CASTELO BRANCO;307;PRESIDENTE KENNEDY;60331190;85;30233718;COLEGIOINACIOCOSTA@YAHOO.COM;Em Atividade;-38,57136458;-3,729709277;Pr・prio;N・o;Privada;Nao oferece;N・o;Sim;Sim;N・o;Sim;N・o;Sim;N・o;Sim;Sim;17;N・o;Filtrada;Sim;Sim;10
SERAFICO NOSSA SENHORA DO BRASIL COLEGIO;AV FREI CIRILO;4454-A;MESSEJANA;60840285;85;32742112;COLEGIO.SERAFICO@BOL.COM.BR;Em Atividade;-38,49514447;-3,822899167;Pr・prio;Sim;Privada;Nao oferece;N・o;N・o;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;19;N・o;Filtrada;Sim;Sim;33
BRASILEIRA ESC;RUA JOAQUIM MOREIRA;253;PARANGABA;60720030;;;;Extinta;-38,56416182;-3,772672807;N・o;N・o;Privada;;N・o;N・o;N・o;N・o;;N・o;N・o;N・o;N・o;N・o;;;;;;0
O BRASILEIRINHO CENTRO EDUCACIONAL;AV SENADOR FERNANDES TAVORA;1717;HENRIQUE JORGE;60510290;85;32901878;CENTROEDUCBRASILEIRINHO@IG.COM.BR;Em Atividade;-38,58788633;-3,759306017;Pr・prio;N・o;Privada;Nao oferece;N・o;N・o;Sim;Sim;Sim;N・o;N・o;N・o;Sim;Sim;17;N・o;Filtrada;Sim;Sim;10
BRASINHA INST EDUCAC O;RUA ISRAEL BEZERRA;862;JOAQUIM TAVORA;60135460;;;;Paralisada;;;N・o;N・o;Privada;;N・o;N・o;N・o;N・o;;N・o;N・o;N・o;N・o;N・o;;;;;;0
ESCOLA CAMINHO DO SABER;R INACIO VASCONCELOS;663;PARQUE IRACEMA;60830160;85;;;Paralisada;;;N・o;N・o;Privada;;N・o;N・o;N・o;N・o;;N・o;N・o;N・o;N・o;N・o;;;;;;0
ESCOLA A CAMINHO DO SABER;RUA ALVARO GARRIDO;406;JARDIM IRACEMA;60330310;85;32823261;ESCOLACAMINHODOSABER@OI.COM.BR;Paralisada;;;N・o;N・o;Privada;;N・o;N・o;N・o;N・o;;N・o;N・o;N・o;N・o;N・o;;;;;;0
O CANARINHO INSTITUTO EDUCACIONAL;RUA BARAO DE ARACATI;1552;ALDEOTA;60115081;85;32522050;SECRETARIA@COLEGIOCANARINHO.COM.BR;Em Atividade;-38,51261016;-3,734930994;Pr・prio;Sim;Privada;Nao oferece;Sim;Sim;Sim;N・o;Sim;Sim;N・o;Sim;Sim;N・o;26;Sim;Filtrada;Sim;Sim;8
ZENITE COLEGIO;RUA LUIS DE MIRANDA;536;BENFICA;60015330;85;32835226;SECRETARIA01@COLEGIOZENITE.COM;Extinta;;;N・o;N・o;Privada;;N・o;N・o;N・o;N・o;;N・o;N・o;N・o;N・o;N・o;;;;;;0
CARLOS DE CARVALHO COL;RUA MAJOR FACUNDO;85;CENTRO;60025101;;;;Paralisada;;;N・o;N・o;Privada;;N・o;N・o;N・o;N・o;;N・o;N・o;N・o;N・o;N・o;;;;;;0
CARLOS EDUCAN SAO;AV CENTRAL;81;CONJUNTO CEARA;60533690;85;;;Paralisada;;;N・o;N・o;Privada;;N・o;N・o;N・o;N・o;;N・o;N・o;N・o;N・o;N・o;;;;;;0
CARLOS INST SAO;RUA CARIUS;32;JARDIM GUANABARA;60346270;;;CARLOSINST@HOTMAIL.COM;Paralisada;;;N・o;N・o;Privada;;N・o;N・o;N・o;N・o;;N・o;N・o;N・o;N・o;N・o;;;;;;0
CARMELIA BASTOS CENTRO EDUCACIONAL;CARLOS VASCONCELOS;2055;ALDEOTA;60115171;85;32619393;CARMELIA-BASTOS@HOTMAIL.COM;Em Atividade;;;Alugado;N・o;Privada;Nao oferece;N・o;N・o;Sim;N・o;Sim;N・o;N・o;Sim;Sim;Sim;8;N・o;Filtrada;Sim;Sim;10
NOSSA SENHORA DO CARMO COLEGIO;RUA ELVIRA PINHO;400;MONTESE;60421000;85;32250601;;Em Atividade;-38,5559902;-3,7669798;Pr・prio;N・o;Privada;Nao oferece;N・o;Sim;Sim;Sim;Sim;N・o;Sim;N・o;Sim;Sim;24;N・o;Filtrada;Sim;Sim;14
COLEGIO CAROLINO SUCUPIRA;RUA MUNDICA PAULA;85;MONTESE;60421410;85;;;Extinta;-38,55599362;-3,772695636;N・o;N・o;Privada;;N・o;N・o;N・o;N・o;;N・o;N・o;N・o;N・o;N・o;;;;;;0
CONSELHO EDUCACIONAL DO PARQUE SAO JOSE;RUA MONSENHOR AGOSTINHO;1362;PARQUE SAO JOSE;60730710;85;32921348;SANTA.CARROSSEL@YAHOO.COM.BR;Em Atividade;-38,58112275;-3,786887535;Pr・prio;N・o;Privada;Nao oferece;Sim;N・o;N・o;N・o;Sim;N・o;N・o;N・o;Sim;N・o;8;Sim;Filtrada;Sim;Sim;1
CARVALHO BARBOSA CENTRO EDUCACIONAL;RUA OSCAR ARARIPE;544;BOM JARDIM;60543452;85;34973911;CECB_544@OI.COM;Em Atividade;-38,59616456;-3,79232798;Alugado;N・o;Privada;Nao oferece;N・o;N・o;N・o;N・o;;Sim;Sim;N・o;N・o;Sim;13;N・o;Filtrada;Sim;Sim;0
CASIMIRO DE ABREU EDUCANDARIO;AV FRANCISCO SA;4001;CARLITO PAMPLONA;60310001;85;32367700;ECA01@IG.COM.BR;Em Atividade;-38,56089987;-3,716782333;Pr・prio;N・o;Privada;Nao oferece;N・o;N・o;Sim;N・o;Sim;N・o;N・o;N・o;N・o;N・o;10;N・o;Filtrada;Sim;Sim;10
CMES CASIMIRO JOSE DE LIMA FILHO;FRANCISCO SA;6449;BARRA DO CEARA;60310003;85;32374885;CASSIMIROJLF@ESCOLA.SME.FORTALEZA.CE.GOV.BR;Em Atividade;-38,5807044;-3,7094293;Pr・prio;Sim;Municipal;Nao oferece;Sim;N・o;Sim;N・o;;N・o;Sim;N・o;Sim;Sim;11;Sim;Filtrada;Sim;Sim;14
ESCOLINHA CASINHA FELIZ;RUA 11;216;JANGURUSSU;60870440;85;30638552;ADRIANABBARBOS@YAHOO.COM.BR;Extinta;;;N・o;N・o;Privada;;N・o;N・o;N・o;N・o;;N・o;N・o;N・o;N・o;N・o;;;;;;0
CASINHA FELIZ INSTITUTO PEDAGOGICO;RUA DO PLANALTO;376;AEROLANDIA;60830360;85;30825585;MARLEUZAM@GMAIL.COM;Em Atividade;-38,5748;-3,7737;Pr・prio;N・o;Privada;Nao oferece;N・o;N・o;Sim;N・o;;N・o;Sim;N・o;Sim;Sim;10;N・o;Filtrada;Sim;Sim;0
CASTELINHO DO GURY CENTRO PEDAGOGICO;RUA JOSE BARCELOS;420;PARQUE ARAXA;60450510;85;32835091;CASTELINHODOGURY@HOTMAIL.COM;Em Atividade;-38,5508273;-3,73565394;Pr・prio;N・o;Privada;Nao oferece;N・o;N・o;N・o;N・o;;Sim;Sim;N・o;Sim;Sim;9;N・o;Filtrada;Sim;Sim;0
EMEIF CASTELO DE CASTRO;43;1531;VILA VELHA;60348340;85;34526693;CCASTELOC@ESCOLA.SME.FORTALEZA.CE.GOV.BR;Em Atividade;-38,6006095;-3,7178502;Pr・prio;N・o;Municipal;Nao oferece;N・o;N・o;Sim;N・o;;N・o;Sim;N・o;N・o;Sim;18;Sim;Filtrada;Sim;Sim;9
